county.FIPS,state,female,above_65,median_house_income,unemployment,smoking,flu_vaccination,some_college,social_association,traffic,black,hispanic,RUCC,poverty,population.density,avg_obs_ill_0316_0322,avg_exp_ill_0316_0322,avg_exp_ill_0330_0405,bl_hisp,avg_social_distance_score
6033,CA,0.500792147,0.227315088,45086,0.052273664,0.144012009,0.27,0.494992324,6.381720263,34.01477214,0.017598086,0.213056444,4,18.4,51.24397116,3.884779076,4.554752375,3.164405469,0.230654531,1.3
6053,CA,0.490840094,0.135908667,69665,0.062693868,0.122499909,0.43,0.468974828,5.092405465,221.0966921,0.025544429,0.591312093,2,13.3,132.3114674,4.149031033,5.095067135,3.639393335,0.616856522,1.585714286
6081,CA,0.50580148,0.161031519,122930,0.02199945,0.086133573,0.48,0.779619423,5.794583944,1478.640874,0.022602967,0.243143676,1,6.8,1709.535916,4.203996246,4.765502872,3.405149682,0.265746643,2.5
6105,CA,0.486078979,0.272836059,40680,0.056936478,0.14700217,0.36,0.595555556,5.507907782,19.28314363,0.005105704,0.075309134,8,21.6,3.864118896,3.721342494,4.504177651,3.028759589,0.080414838,0.857142857
8007,CO,0.498873956,0.260443153,53337,0.034064665,0.134760711,0.32,0.674872997,12.01652272,45.39936785,0.006029786,0.182419179,7,11.2,10.39046646,3.260157884,2.3318121,1.719578104,0.188448965,1.142857143
20029,KS,0.503952343,0.215946844,44467,0.035147992,0.178390372,0.32,0.64923402,31.14225336,27.44705941,0.008019246,0.032076985,7,16,12.28227137,3.980815595,3.593599225,2.335630003,0.040096231,0.857142857
8015,CO,0.471613322,0.253857293,56168,0.026885043,0.134888729,0.47,0.626855895,15.78572156,113.8626788,0.01617816,0.101263295,7,10.9,20.08683639,4.01824766,2.568579114,1.742859461,0.117441454,1.428571429
8047,CO,0.475249142,0.169090018,72949,0.025462343,0.127421288,0.46,0.767557489,4.989190088,5.868008558,0.009965692,0.073027283,1,6.7,41.64776518,4.031796568,2.306873489,1.525276075,0.082992975,2.528571429
8047,CO,0.475249142,0.169090018,72949,0.025462343,0.127421288,0.46,0.767557489,4.989190088,5.868008558,0.009965692,0.073027283,1,6.7,41.64776518,4.031796568,2.306873489,1.525276075,0.082992975,2.528571429
8049,CO,0.464154589,0.175974235,69214,0.026822628,0.141686445,0.46,0.640788513,15.01207493,88.26417629,0.008760064,0.090499195,7,7.9,8.521770214,4.169485744,2.344616506,1.587167523,0.099259259,1.714285714
20165,KS,0.486582606,0.248302619,44121,0.027108434,0.153566083,0.36,0.669449082,22.55881405,44.86031029,0.005172971,0.042030391,9,13.8,4.229826126,3.694859184,3.44526078,2.004528361,0.047203362,1.142857143
8085,CO,0.506917137,0.233003269,52576,0.036689303,0.154311813,0.46,0.560961583,9.333716255,92.73208184,0.004500877,0.207064007,4,11.6,19.0824296,3.880269071,2.249183696,1.721893079,0.211564884,0.957142857
27105,MN,0.484583105,0.163519431,55766,0.026231833,0.144365137,0.53,0.477561705,15.94969012,55.58662174,0.051404853,0.284345922,7,10.8,30.24569647,3.689172142,4.206735573,3.635415653,0.335750775,0.771428571
8093,CO,0.473593447,0.204408278,72121,0.028916107,0.128533244,0.43,0.652622528,4.468025691,18.3678458,0.008353093,0.062297909,1,8.1,8.589921827,3.988900898,2.267268036,1.569443582,0.070651002,1.528571429
8095,CO,0.506532898,0.225384974,52367,0.018937987,0.122909558,0.35,0.549520767,23.29916123,54.46852608,0.006766216,0.205552963,9,10.8,6.199758696,4.065391705,3.372643109,2.239440609,0.212319179,1
8113,CO,0.467830546,0.146624344,69458,0.035144928,0.143749448,0.35,0.783858268,5.020710431,25.25275791,0.00561592,0.106946649,9,8.6,6.357015723,3.901663421,2.16943348,1.693210488,0.112562569,2.714285714
31045,NE,0.501147315,0.18540615,47487,0.026785714,0.14954955,0.4,0.745076586,15.7480315,37.97068281,0.017439192,0.053809087,7,17.1,6.15055211,4.036858862,3.927168972,2.655609128,0.071248279,1.142857143
18141,IN,0.513108863,0.158004365,54674,0.035625475,0.190419885,0.51,0.647714073,11.31514529,263.5114514,0.132144875,0.089138054,2,13.5,593.7009938,4.71493982,3.501129826,2.513309566,0.221282929,1.385714286
37147,NC,0.530436764,0.132224285,43303,0.042362802,0.173736902,0.51,0.728246437,9.271567565,111.5503083,0.350095045,0.063474771,3,23.2,277.2201601,5.220256617,4.698955392,3.583720914,0.413569817,1.1
13037,GA,0.397040302,0.156643577,33393,0.042553192,0.236378937,0.3,0.357544517,10.84430674,17.54861771,0.602329975,0.049905542,8,37.2,22.07440168,4.353642702,1.910844187,1.588399915,0.652235516,0.857142857
13085,GA,0.505641271,0.201132241,68835,0.033305648,0.145976384,0.47,0.599180182,11.48529472,70.06121857,0.007574852,0.04847905,1,8.7,123.8343689,3.650320598,1.644109746,1.448336769,0.056053901,0.914285714
13095,GA,0.541137402,0.153732341,38806,0.051249967,0.216075532,0.4,0.590166095,12.51368685,221.8274192,0.702552525,0.029284438,3,29.5,267.5956068,4.594409511,2.095524443,1.895872875,0.731836963,1.1
48347,TX,0.520947787,0.147387804,45357,0.039029133,0.170320113,0.48,0.57222571,8.996645319,47.04518231,0.17698711,0.197288125,5,21.6,68.88668202,4.893271806,3.320027349,2.576749269,0.374275236,1.357142857
13187,GA,0.504324078,0.175572751,55583,0.03589805,0.173012866,0.41,0.548098434,4.563015241,44.62369104,0.015293582,0.05031103,6,14.9,118.7926342,3.730520121,1.665499422,1.471509901,0.065604612,1.071428571
40057,OK,0.522147147,0.197072072,38537,0.029166667,0.169866102,0.49,0.592329546,14.87541837,16.00771554,0.072822823,0.297672673,9,23.9,4.938662298,2.506818884,2.338458099,1.694667772,0.370495496,1.142857143
39087,OH,0.513262954,0.188972038,43031,0.056352892,0.212275753,0.46,0.542272082,9.626715796,52.89380333,0.021113821,0.010256239,2,18.8,131.157774,4.784727131,5.517772958,4.177403339,0.03137006,0.871428571
13037,GA,0.397040302,0.156643577,33393,0.042553192,0.236378937,0.3,0.357544517,10.84430674,17.54861771,0.602329975,0.049905542,8,37.2,22.07440168,4.353642702,1.910844187,1.588399915,0.652235516,0.857142857
16013,ID,0.493119774,0.196230255,76113,0.02361438,0.129026748,0.49,0.546582588,12.25935343,41.30367308,0.004336091,0.22525552,7,7,8.708233879,4.392050556,4.140077067,2.766557058,0.229591611,1.3
16015,ID,0.479303118,0.251375426,56837,0.042355062,0.129466332,0.33,0.614814815,8.230452675,22.81456173,0.004060781,0.049122347,2,12.8,4.123228239,4.348863767,2.726830476,1.796524945,0.053183128,2.4
20085,KS,0.499698795,0.190512048,56330,0.029929334,0.160009578,0.29,0.676106195,8.259498423,33.36413763,0.007605422,0.04623494,3,10.5,20.07101277,4.079646246,3.693692622,2.204227836,0.053840362,1.2
16061,ID,0.491582492,0.263662264,44911,0.054978619,0.149408015,0.36,0.628075253,7.718034474,37.83022703,0.005180005,0.046620047,8,14.2,8.015873016,4.441375648,2.91480883,1.983421164,0.051800052,1
8113,CO,0.467830546,0.146624344,69458,0.035144928,0.143749448,0.35,0.783858268,5.020710431,25.25275791,0.00561592,0.106946649,9,8.6,6.357015723,3.901663421,2.16943348,1.693210488,0.112562569,2.714285714
