county.FIPS,state,female,above_65,median_house_income,unemployment,smoking,flu_vaccination,some_college,social_association,traffic,black,hispanic,RUCC,poverty,population.density,avg_obs_ill_0316_0322,avg_exp_ill_0316_0322,avg_exp_ill_0330_0405,bl_hisp,avg_social_distance_score
6047,CA,0.495452478,0.112259567,56169,0.082957854,0.141296065,0.41,0.476378999,4.36420181,207.8535067,0.029763616,0.602103616,2,21.2,143.5061009,4.17521748,4.804776608,3.415941148,0.631867232,0.485714286
51810,VA,0.508950685,0.142171399,76520,0.028608689,0.149520185,0.48,0.755528837,7.193046722,401.1843076,0.191026436,0.082998474,1,7.5,1806.979359,4.55266853,4.396178931,3.410751617,0.27402491,0.728571429
17069,IL,0.49258312,0.257033248,41713,0.078183172,0.179581925,0.17,0.598493003,7.414730598,7.680945463,0.00511509,0.022506394,9,20,21.52312285,4.362242164,4.503770876,3.132315561,0.027621483,0.142857143
53039,WA,0.495318225,0.238928846,56503,0.056867805,0.14311189,0.26,0.660340314,8.252716519,35.62097781,0.005156738,0.119147781,6,12.7,11.98358369,4.135480483,3.076135515,2.051287945,0.124304519,0
8009,CO,0.49790795,0.247140865,38294,0.018393899,0.151714256,0.22,0.656875834,16.8444694,56.01394737,0.007531381,0.110181311,9,19.4,1.401582015,3.209430784,2.094404208,1.351022722,0.117712692,0
55069,WI,0.493336704,0.214850663,56645,0.031634446,0.156383819,0.53,0.622030981,13.65040592,87.3209503,0.00852324,0.016865903,6,10.6,31.39242522,5.043045085,5.955405236,4.648558779,0.025389144,0.585714286
8039,CO,0.494787307,0.164028613,98247,0.028403395,0.127320647,0.41,0.740518135,4.679822167,14.22463582,0.012594171,0.071988433,1,5,14.44147284,2.978769507,2.447517284,1.634762952,0.084582604,0.871428571
8039,CO,0.494787307,0.164028613,98247,0.028403395,0.127320647,0.41,0.740518135,4.679822167,14.22463582,0.012594171,0.071988433,1,5,14.44147284,2.978769507,2.447517284,1.634762952,0.084582604,0.871428571
56045,WY,0.470503804,0.205109803,54319,0.03511123,0.166931336,0.21,0.620710784,12.99263751,64.30429899,0.006459021,0.0407636,7,11.8,2.888548803,4.18584747,3.410715655,2.398514967,0.047222621,0.714285714
8061,CO,0.513376717,0.234273319,44704,0.017653167,0.144157975,0.31,0.647887324,21.80232558,49.35896611,0.004338395,0.088937093,9,13.8,0.795352337,3.104083832,2.579954807,1.570049013,0.093275488,0.285714286
41057,OR,0.493746967,0.25792362,52486,0.044277642,0.148722629,0.24,0.550729927,11.61483702,96.48659254,0.005301079,0.10680554,6,13.2,24.5206697,3.864172549,3.278179842,2.314344513,0.112106619,0.1
8087,CO,0.495412844,0.154842776,55387,0.029320707,0.14186067,0.42,0.485275104,12.41486947,39.10347977,0.032705372,0.363225716,6,12.2,22.70174863,3.548587671,2.92318907,1.949387976,0.395931088,0.1
48065,TX,0.498751041,0.195337219,64799,0.028289474,0.125564519,0.44,0.714184397,21.55172414,29.84909724,0.008159867,0.104912573,2,8.9,6.439764404,2.807084253,2.250469187,1.563264504,0.11307244,0
40151,OK,0.466561762,0.1710689,51715,0.021588947,0.164864313,0.37,0.570999571,17.71675341,38.82791866,0.033382039,0.075531078,7,15.2,6.83508881,2.84446141,3.612710446,2.239764344,0.108913117,0.142857143
16081,ID,0.475,0.125171821,68749,0.022475418,0.134764039,0.32,0.76735798,2.635972234,34.54912263,0.002061856,0.168213058,9,7.6,27.01463979,3.885928587,3.153827344,2.282008344,0.170274914,0.714285714
8121,CO,0.480138521,0.206966796,47869,0.024186047,0.135394302,0.19,0.726137377,16.20089105,41.32159772,0.011203911,0.104501935,9,13.7,1.949142782,3.540966835,3.046482491,1.898988875,0.115705846,0.428571429
12033,FL,0.505032738,0.168438267,50644,0.03542375,0.202458302,0.37,0.676897279,9.026767715,256.8044035,0.227183125,0.058196581,2,14.7,484.8977851,4.996770145,2.468670373,2.010242188,0.285379706,0.485714286
13031,GA,0.509431277,0.114624301,43766,0.041809989,0.193725038,0.48,0.700083264,6.960038871,81.71936207,0.291580418,0.041231112,4,22.9,118.3216658,5.14980599,3.584582788,3.150024115,0.33281153,0.528571429
13309,GA,0.353344333,0.146211448,32691,0.073652695,0.235061431,0.39,0.3519804,3.772635815,17.69329266,0.368447773,0.05584465,9,39.6,26.58386354,4.242990111,2.955171706,2.65616485,0.424292423,0.142857143
48077,TX,0.501817139,0.227142311,58356,0.031749242,0.148941154,0.45,0.585594013,13.43441129,59.83713138,0.007842387,0.065416986,3,10.9,9.617716217,3.533054656,2.797098697,2.171775823,0.073259373,0.142857143
1113,AL,0.519824856,0.143299701,39104,0.040205448,0.217913198,0.4,0.614674412,9.992111491,222.4574631,0.44756927,0.05616033,2,21.7,90.4030321,4.398014068,2.169362899,1.694211479,0.5037296,0.2
13107,GA,0.507783478,0.161109146,37574,0.05886593,0.21225065,0.33,0.403664922,8.877052819,29.76791144,0.343667079,0.044931895,7,25.1,33.27358213,4.883269056,3.050502438,2.579192778,0.388598974,0.2
28109,MS,0.507754527,0.187679419,45268,0.047100206,0.187422181,0.45,0.558605458,9.408358965,42.03067795,0.123512738,0.031956957,6,18.1,68.48901167,3.959225346,3.10480025,2.556033468,0.155469695,0.2
13201,GA,0.520752726,0.222300387,42483,0.036971205,0.180113538,0.37,0.58291815,10.27749229,27.52285928,0.276996131,0.026380584,8,22.4,20.24644147,4.387774351,2.109096159,1.695802303,0.303376715,0.285714286
13295,GA,0.507938337,0.185506411,43767,0.038694773,0.171933869,0.45,0.525505005,8.993457985,50.46782766,0.044129088,0.023152284,2,15.5,156.2816434,4.434689619,2.349942265,1.964609732,0.067281372,0.1
13309,GA,0.353344333,0.146211448,32691,0.073652695,0.235061431,0.39,0.3519804,3.772635815,17.69329266,0.368447773,0.05584465,9,39.6,26.58386354,4.242990111,2.955171706,2.65616485,0.424292423,0.142857143
37197,NC,0.507791066,0.201528914,49070,0.033724917,0.178972454,0.51,0.57235655,14.03081485,41.81022186,0.030791359,0.111658631,2,13,112.4958934,4.925891443,3.63627722,2.760804091,0.142449991,0.2
53059,WA,0.491697417,0.210248239,64344,0.056044986,0.14619283,0.3,0.614347998,3.379234603,33.66205809,0.00561892,0.063317679,1,11.7,7.297907808,4.206359358,3.15430147,2.151824658,0.068936598,0
16023,ID,0.495212562,0.234392953,50050,0.031837916,0.131650387,0.27,0.69072165,0,35.58857031,0.00459594,0.045193413,3,15.1,1.163702519,4.512913887,3.255956026,2.207036634,0.049789353,0.428571429
38043,ND,0.48244898,0.244897959,45401,0.044274809,0.159254294,0.47,0.647410359,16.11603546,9.121477265,0.003265306,0.040408163,8,14.5,1.835419149,4.448530716,4.929525784,4.138780242,0.043673469,0
16081,ID,0.475,0.125171821,68749,0.022475418,0.134764039,0.32,0.76735798,2.635972234,34.54912263,0.002061856,0.168213058,9,7.6,27.01463979,3.885928587,3.153827344,2.282008344,0.170274914,0.714285714
41001,OR,0.49106585,0.264088467,45972,0.054902523,0.150688106,0.35,0.575444636,17.44113617,40.64741961,0.005622891,0.043858553,7,15.4,5.254924455,4.538587735,3.164537426,2.148193449,0.049481444,0
55141,WI,0.507918691,0.205625898,55879,0.034566301,0.159387315,0.41,0.654467826,14.7690288,119.267706,0.008801588,0.030921908,4,10.1,92.04029655,4.457850742,5.71813764,4.540423,0.039723496,0.4
17005,IL,0.480156344,0.18556825,54800,0.0437634,0.165710085,0.46,0.619995205,11.21076233,34.31851164,0.059951894,0.036139507,1,13.8,43.19448827,4.86571233,5.179239782,3.09870227,0.096091401,0
27129,MN,0.491719135,0.20804818,59787,0.039262547,0.143506153,0.35,0.644167759,30.72721065,66.79214521,0.004927457,0.090131399,8,10.5,14.8009482,3.712930601,4.818728745,4.106665887,0.095058856,0.571428571
30097,MT,0.489218329,0.265768194,52747,0.030474041,0.139520565,0.18,0.546925566,13.54646437,47.53982893,0.003773585,0.024797844,9,10,2.014327219,4.121622893,3.102502838,2.123417813,0.028571429,0
